score,review_status,suggested_type,slug,brand_id,category,family,product_count,complete_weight_price,suggested_query,product_ids,editorial_note
20,candidate,collection,snow-peak-land-nest-models-compared,snow-peak,tent,Land Nest,4,4,snow peak land nest models compared,snow-peak-landnest-dome-m|snow-peak-land-nest-dome-small|snow-peak-landnest-m-tent-tarp-set|snow-peak-land-nest-small-tent-tarp-set,"Verify search intent, variants, facts and takeaways before approval."
20,candidate,collection,snow-peak-recta-tarp-models-compared,snow-peak,tarp,Recta Tarp,4,4,snow peak recta tarp models compared,snow-peak-recta-tarp-l|snow-peak-hd-trap-shield-recta-l-proset|snow-peak-recta-tarp-m|snow-peak-hd-tarp-shield-recta-m-pro,"Verify search intent, variants, facts and takeaways before approval."
18,candidate,collection,snow-peak-amenity-dome-models-compared,snow-peak,tent,Amenity Dome,4,3,snow peak amenity dome models compared,snow-peak-amenity-dome-2|snow-peak-amenity-dome-3|snow-peak-amenity-dome-m-ivory|snow-peak-amenity-dome-s-ivory,"Verify search intent, variants, facts and takeaways before approval."
16,candidate,collection,montbell-seamless-down-models-compared,montbell,sleeping-bag,Seamless Down,4,2,montbell seamless down models compared,montbell-seamless-down-hugger-800-3-long-blue-green|montbell-seamless-down-hugger-800-5-blue-ridge|montbell-seamless-down-hugger-800-5-long-blue-ridge|montbell-seamless-down-hugger-800-7-long-purple,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-benchmark-models-compared,big-agnes,sleeping-bag,Benchmark,3,3,big agnes benchmark models compared,big-agnes-benchmark-0|big-agnes-benchmark-20|big-agnes-benchmark-35,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-blacktail-vetiver-models-compared,big-agnes,tent,Blacktail Vetiver,3,3,big agnes blacktail vetiver models compared,big-agnes-blacktail-two-vetiver|big-agnes-blacktail-three-vetiver|big-agnes-blacktail-four-vetiver,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-blacktail-warm-models-compared,big-agnes,tent,Blacktail Warm,3,3,big agnes blacktail warm models compared,big-agnes-blacktail-two|big-agnes-blacktail-three|big-agnes-blacktail-426,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-echo-park-models-compared,big-agnes,sleeping-bag,Echo Park,3,3,big agnes echo park models compared,big-agnes-echo-park-zero|big-agnes-echo-park-twenty|big-agnes-echo-park-35,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-greystone-models-compared,big-agnes,sleeping-bag,Greystone,3,3,big agnes greystone models compared,big-agnes-greystone-zero|big-agnes-greystone-twenty|big-agnes-greystone-thirty,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-rapide-sl-models-compared,big-agnes,sleeping-pad,Rapide Sl,3,3,big agnes rapide sl models compared,big-agnes-rapide-sl-insulated|big-agnes-rapide-alpenglow-wr|big-agnes-rapide-tent-floor-pad,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,big-agnes-sheep-mountain-models-compared,big-agnes,tent,Sheep Mountain,3,3,big agnes sheep mountain models compared,big-agnes-sheep-mountain-1|big-agnes-sheep-mountain-2|big-agnes-sheep-mountain-3,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,naturehike-cape-square-models-compared,naturehike,tent,Cape Square,3,3,naturehike cape square models compared,naturehike-cape-12-9-8-person-square-pop-up-camping-tent|naturehike-cape-5-2-4-person-square-pop-up-camping-tent|naturehike-cape-8-3-6-person-square-pop-up-camping-tent,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,naturehike-cloud-river-models-compared,naturehike,tent,Cloud River,3,3,naturehike cloud river models compared,naturehike-cloud-river-2-person-backpacking-tent|naturehike-cloud-river-3-person-backpacking-tent|naturehike-cloud-river-pro-2-person-4-season-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,naturehike-kota-models-compared,naturehike,tent,Kota,3,3,naturehike kota models compared,naturehike-kota-4-person-camping-tent|naturehike-kota-6-person-camping-tent|naturehike-kota-8-person-camping-tent,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,naturehike-star-river-models-compared,naturehike,tent,Star River,3,3,naturehike star river models compared,naturehike-star-river-2-person-ultralight-backpacking-tent|naturehike-star-rivertm-ext-2-person-ultralight-backpacking-tent|naturehike-star-river-ul-2-person-ultralight-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,naturehike-tuye-inflatable-models-compared,naturehike,sleeping-pad,Tuye Inflatable,3,3,naturehike tuye inflatable models compared,naturehike-tuye-3-2-ultralight-inflatable-pad|naturehike-tuye-3-5-ultralight-inflatable-pad|naturehike-tuye-4-6-ultralight-inflatable-pad,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,snow-peak-hexa-tarp-models-compared,snow-peak,tarp,Hexa Tarp,3,3,snow peak hexa tarp models compared,snow-peak-hexa-tarp-m|snow-peak-hexa-tarp-pro-set-m|snow-peak-copy-of-hd-hexa-tarp-pro-set-l,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,snow-peak-land-lock-models-compared,snow-peak,tent,Land Lock,3,3,snow peak land lock models compared,snow-peak-land-lock|snow-peak-land-lock-ivory|snow-peak-land-lock-tent-set,"Verify search intent, variants, facts and takeaways before approval."
15,candidate,comparison,snow-peak-land-nest-models-compared,snow-peak,tarp,Land Nest,3,3,snow peak land nest models compared,snow-peak-land-nest-shelter|snow-peak-land-nest-shelter-in-ivory|snow-peak-landnest-tarp,"Verify search intent, variants, facts and takeaways before approval."
14,candidate,collection,flames-creed-flame-lanshan-models-compared,flames-creed,tent,Flame Lanshan,4,1,flames creed flame lanshan models compared,flames-creed-2018-flames-creed-lanshan-2-person-ultralight-tent-15d|flames-creed-flames-creed-lanshan-1-person-ultralight-tent-15d-silnylon|flames-creed-flames-creed-lanshan-1-pro-tent-20d-silnylon-ultralight|flames-creed-flames-creed-lanshan-2-pro-20d-ultralight-tent,"Verify search intent, variants, facts and takeaways before approval."
13,candidate,comparison,aegismax-wind-hard-models-compared,aegismax,sleeping-bag,Wind Hard,3,2,aegismax wind hard models compared,aegismax-aegismax-wind-hard-dusk-7d-nylon-dwr-800fp-ultra-dry-down-pro-ultralight-sleeping-bag|aegismax-aegismax-wind-hard-tiny-pro-10d-800fp-down-sleeping-bag-quilt|aegismax-aegismax-wind-hard-twilight-10d-5-degree-800fp-down-sleeping-bag-ultralight,"Verify search intent, variants, facts and takeaways before approval."
13,candidate,comparison,dod-kamaboko-super-models-compared,dod,tent,Kamaboko Super,3,2,dod kamaboko super models compared,dod-kamaboko-super-tent-l|dod-kamaboko-super-tent-m|dod-kamaboko-super-tent-s,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,3f-ul-gear-lanshan-models-compared,3f-ul-gear,tent,Lanshan,2,2,3f ul gear lanshan models compared,3f-ul-gear-lanshan-1|3f-ul-gear-lanshan-2,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,3f-ul-gear-lanshan-pro-models-compared,3f-ul-gear,tent,Lanshan Pro,2,2,3f ul gear lanshan pro models compared,3f-ul-gear-lanshan-1-pro|3f-ul-gear-lanshan-2-pro,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,asta-gear-astagear-yunshan-models-compared,asta-gear,tent,Astagear Yunshan,2,2,asta gear astagear yunshan models compared,asta-gear-astagear-yunshan-1-person-single-sided-silicone-coated-ultralight-tent-15d-heavy-rainproof-windproof|asta-gear-astagear-yunshan-2-elite-2-person-tent-15d-ultra-light-heavy-rainproof-windproof-snow-resistant-alpine-style-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,asta-gear-crescent-20d-models-compared,asta-gear,tent,Crescent 20D,2,2,asta gear crescent 20d models compared,asta-gear-asta-gear-crescent-1-20d-silione-nylon-1person-windproof-rainproof-camping-tent|asta-gear-asta-gear-crescent-2-20d-silione-nylon-2persons-windproof-rainproof-camping-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-anthracite-models-compared,big-agnes,sleeping-bag,Anthracite,2,2,big agnes anthracite models compared,big-agnes-anthracite-twenty|big-agnes-anthracite-thirty,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-bar-models-compared,big-agnes,tent,Bar,2,2,big agnes bar models compared,big-agnes-c-bar-226|big-agnes-c-bar-326,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-blacktail-hotel-models-compared,big-agnes,tent,Blacktail Hotel,2,2,big agnes blacktail hotel models compared,big-agnes-blacktail-hotel-two|big-agnes-blacktail-hotel-three,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-bunk-house-models-compared,big-agnes,tent,Bunk House,2,2,big agnes bunk house models compared,big-agnes-bunk-house-426|big-agnes-bunk-house-626,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-crag-lake-models-compared,big-agnes,tent,Crag Lake,2,2,big agnes crag lake models compared,big-agnes-crag-lake-sl2|big-agnes-crag-lake-sl3,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-fly-creek-models-compared,big-agnes,sleeping-bag,Fly Creek,2,2,big agnes fly creek models compared,big-agnes-fly-creek-ul-25|big-agnes-fly-creek-ul-quilt,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-fly-creek-models-compared,big-agnes,tent,Fly Creek,2,2,big agnes fly creek models compared,big-agnes-fly-creek-ul-one|big-agnes-fly-creek-ul-two,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-house-models-compared,big-agnes,tent,House,2,2,big agnes house models compared,big-agnes-big-house-426|big-agnes-big-house-626,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-lost-ranger-models-compared,big-agnes,sleeping-bag,Lost Ranger,2,2,big agnes lost ranger models compared,big-agnes-lost-ranger-3n1-015|big-agnes-lost-ranger-3n1-00,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-salt-creek-models-compared,big-agnes,tent,Salt Creek,2,2,big agnes salt creek models compared,big-agnes-salt-creek-two|big-agnes-salt-creek-three,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-sarvis-vst-models-compared,big-agnes,tent,Sarvis Vst,2,2,big agnes sarvis vst models compared,big-agnes-sarvis-vst-2|big-agnes-sarvis-vst-3,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-sidewinder-models-compared,big-agnes,sleeping-bag,Sidewinder,2,2,big agnes sidewinder models compared,big-agnes-sidewinder-0|big-agnes-sidewinder-20,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-string-ridge-models-compared,big-agnes,tent,String Ridge,2,2,big agnes string ridge models compared,big-agnes-string-ridge-vst-1-5|big-agnes-string-ridge-vst-2-5,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-twistercane-biofoam-models-compared,big-agnes,sleeping-pad,Twistercane Biofoam,2,2,big agnes twistercane biofoam models compared,big-agnes-twistercane-bio-foam-hiking-seat|big-agnes-twistercane-bio-foam-pad,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-why-not-models-compared,big-agnes,sleeping-bag,Why Not,2,2,big agnes why not models compared,big-agnes-why-not-picnic-blanket|big-agnes-why-not-blanket-alpenglow,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-women-greystone-models-compared,big-agnes,sleeping-bag,Women Greystone,2,2,big agnes women greystone models compared,big-agnes-ws-greystone-twenty|big-agnes-ws-greystone-thirty,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,big-agnes-wyoming-trail-models-compared,big-agnes,tent,Wyoming Trail,2,2,big agnes wyoming trail models compared,big-agnes-wyoming-trail-2|big-agnes-wyoming-trail-4,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,dod-rx-pyramid-models-compared,dod,tent,Rx Pyramid,2,2,dod rx pyramid models compared,dod-rx-pyramid-tent-l|dod-rx-pyramid-tent-m,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,fire-maple-polaris-pressure-models-compared,fire-maple,stove,Polaris Pressure,2,2,fire maple polaris pressure models compared,fire-maple-polaris-gas-pressure-regulator-stove|fire-maple-polaris-remote-gas-pressure-regulator-stove,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,montbell-chronos-dome-models-compared,montbell,tent,Chronos Dome,2,2,montbell chronos dome models compared,montbell-chronos-dome-2-golden-orange|montbell-chronos-dome-4-thyme,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,montbell-mini-tarp-models-compared,montbell,tarp,Mini Tarp,2,2,montbell mini tarp models compared,montbell-mini-tarp-hx-dark-forest|montbell-mini-tarp-hx-green,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-bleik-models-compared,naturehike,tent,Bleik,2,2,naturehike bleik models compared,naturehike-bleiktm-2-person-backpacking-tent|naturehike-bleiktm-3-person-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-brighten-glamping-models-compared,naturehike,tent,Brighten Glamping,2,2,naturehike brighten glamping models compared,naturehike-brighten-20-pyramid-6-people-cotton-glamping-tent|naturehike-brighten-glamping-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-cape-pop-models-compared,naturehike,tent,Cape Pop,2,2,naturehike cape pop models compared,naturehike-cape-6-person-pop-up-camping-tent|naturehike-cape-8-person-pop-up-camping-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-cloud-boundar-models-compared,naturehike,tarp,Cloud Boundar,2,2,naturehike cloud boundar models compared,naturehike-camping-tent-canopy-sun-shade|naturehike-cloud-boundartm-6-sided-pop-up-canopy-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-cloud-skies-models-compared,naturehike,tarp,Cloud Skies,2,2,naturehike cloud skies models compared,naturehike-naturehike-cloud-skies-camping-tarp-with-poles-waterproof-sun-shelter|naturehike-item,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-cloud-trek-models-compared,naturehike,tent,Cloud Trek,2,2,naturehike cloud trek models compared,naturehike-cloud-trek-1-person-ultralight-bikepacking-tent|naturehike-cloud-trek-2-person-ultralight-bikepacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-daban-season-models-compared,naturehike,tent,Daban Season,2,2,naturehike daban season models compared,naturehike-daban-1-person-ultralight-4-season-tunnel-tent|naturehike-daban-2-person-ultralight-4-season-tunnel-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-dune-hot-models-compared,naturehike,tent,Dune Hot,2,2,naturehike dune hot models compared,naturehike-dune-10-9-4-person-hot-tent|naturehike-dune-7-6-3-person-hot-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-fc01-inflatable-models-compared,naturehike,sleeping-pad,Fc01 Inflatable,2,2,naturehike fc01 inflatable models compared,naturehike-fc01-ultralight-inflatable-doublewide-pad|naturehike-fc01-ultralight-inflatable-pad,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-giling-pro-models-compared,naturehike,tent,Giling Pro,2,2,naturehike giling pro models compared,naturehike-giling-protm-1-person-backpacking-tent|naturehike-giling-protm-2-person-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-giling-ul-models-compared,naturehike,tent,Giling Ul,2,2,naturehike giling ul models compared,naturehike-giling-ultm-1-person-backpacking-tent|naturehike-giling-ultm-2-person-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-jims-season-models-compared,naturehike,tent,Jims Season,2,2,naturehike jims season models compared,naturehike-jims-1-person-ultralight-4-season-tent|naturehike-jims-2-person-ultralight-4-season-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-lingfeng-air-models-compared,naturehike,tent,Lingfeng Air,2,2,naturehike lingfeng air models compared,naturehike-lingfeng-air-12-lightweight-inflatable-tent|naturehike-lingfeng-air-7-3-lightweight-inflatable-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-massif-hot-models-compared,naturehike,tent,Massif Hot,2,2,naturehike massif hot models compared,naturehike-massif-2-person-4-season-hot-tent|naturehike-massif-4-person-4-season-hot-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-mongar-base-models-compared,naturehike,tent,Mongar Base,2,2,naturehike mongar base models compared,naturehike-mongartm-base-2-person-backpacking-tent|naturehike-mongartm-base-3-person-ultralight-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-mongar-pro-models-compared,naturehike,tent,Mongar Pro,2,2,naturehike mongar pro models compared,naturehike-mongartm-pro-1-person-ultralight-backpacking-tent|naturehike-mongartm-pro-3-person-ultralight-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-mongar-ul-models-compared,naturehike,tent,Mongar Ul,2,2,naturehike mongar ul models compared,naturehike-mongar-ul-1-person-ultralight-backpacking-tent|naturehike-mongar-ul-2-person-ultralight-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-morning-view-models-compared,naturehike,sleeping-pad,Morning View,2,2,naturehike morning view models compared,naturehike-naturehike-morning-view-camping-bed|naturehike-naturehike-morning-view-king-air-mattress-with-built-in-pump,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-ranch-fire-models-compared,naturehike,tent,Ranch Fire,2,2,naturehike ranch fire models compared,naturehike-ranch-fire-4-person-pyramid-hot-tent|naturehike-ranch-fire-6-person-octagonal-hot-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-star-trail-models-compared,naturehike,tent,Star Trail,2,2,naturehike star trail models compared,naturehike-star-trail-1-person-ultralight-backpacking-tent|naturehike-star-trailtm-ext-2-person-ultralight-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-tagar-models-compared,naturehike,tent,Tagar,2,2,naturehike tagar models compared,naturehike-tagar-1-person-ultralight-backpacking-tent|naturehike-tagar-2-person-ultralight-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,naturehike-tuye-r5-models-compared,naturehike,sleeping-pad,Tuye R5,2,2,naturehike tuye r5 models compared,naturehike-tuye-r5-8-ultralight-inflatable-pad|naturehike-1-1,"Verify search intent, variants, facts and takeaways before approval."
10,candidate,comparison,onetigris-cosmitto-models-compared,onetigris,tent,Cosmitto,2,2,onetigris cosmitto models compared,onetigris-cosmitto-backpacking-1-person-tent|onetigris-cosmitto-backpacking-tent,"Verify search intent, variants, facts and takeaways before approval."
